,Start Time,End Time,Trip Duration,Start Station,End Station,User Type
1621326,6/21/2017 8:36,6/21/2017 8:44,489.066,14th & Belmont St NW,15th & K St NW,Subscriber
482740,3/11/2017 10:40,3/11/2017 10:46,402.549,Yuma St & Tenley Circle NW,Connecticut Ave & Yuma St NW,Subscriber
1330037,5/30/2017 1:02,5/30/2017 1:13,637.251,17th St & Massachusetts Ave NW,5th & K St NW,Subscriber
665458,4/2/2017 7:48,4/2/2017 8:19,1827.341,Constitution Ave & 2nd St NW/DOL,M St & Pennsylvania Ave NW,Customer
1481135,6/10/2017 8:36,6/10/2017 9:02,1549.427,Henry Bacon Dr & Lincoln Memorial Circle NW,Maine Ave & 7th St SW,Subscriber
1148202,5/14/2017 7:18,5/14/2017 7:24,398,1st & K St SE,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Subscriber
1594275,6/19/2017 8:41,6/19/2017 9:00,1105.429,Park Rd & Holmead Pl NW,8th & H St NW,Subscriber
1601832,6/20/2017 5:54,6/20/2017 6:05,636.218,1st & D St SE,Potomac & Pennsylvania Ave SE,Subscriber
574182,3/24/2017 20:37,3/24/2017 20:42,328.53,18th & R St NW,15th & P St NW,Subscriber
327058,2/20/2017 21:12,2/20/2017 21:31,1188.09,17th & Corcoran St NW,Lynn & 19th St North,Subscriber
854729,4/17/2017 2:50,4/17/2017 3:05,866.689,37th & O St NW / Georgetown University,37th & O St NW / Georgetown University,Customer
721887,4/8/2017 1:12,4/8/2017 1:52,2385.411,10th & G St NW,5th St & Massachusetts Ave NW,Customer
143181,1/26/2017 20:01,1/26/2017 20:17,951.457,10th St & L'Enfant Plaza SW,1st & Rhode Island Ave NW,Subscriber
26953,1/6/2017 17:36,1/6/2017 17:43,448.628,North Capitol St & F St NW,1st & M St NE,Subscriber
1308542,5/28/2017 3:50,5/28/2017 4:24,2039.472,Henry Bacon Dr & Lincoln Memorial Circle NW,Lincoln Memorial,Customer
1592744,6/19/2017 7:46,6/19/2017 7:55,505.482,Metro Center / 12th & G St NW,North Capitol St & G Pl NE,Subscriber
1139713,5/13/2017 11:29,5/13/2017 11:55,1591.326,16th & Harvard St NW,New York Ave & 15th St NW,Customer
1478516,6/10/2017 6:04,6/10/2017 6:32,1672.075,17th St & Massachusetts Ave NW,15th & East Capitol St NE,Subscriber
679837,4/3/2017 10:22,4/3/2017 10:26,231.952,20th & Crystal Dr,6th & S Ball St,Subscriber
1392498,6/3/2017 11:42,6/3/2017 12:21,2291.454,22nd & I St NW / Foggy Bottom,Lamont & Mt Pleasant NW,Customer
746605,4/9/2017 11:05,4/9/2017 11:26,1261.363,Henry Bacon Dr & Lincoln Memorial Circle NW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
868881,4/18/2017 5:42,4/18/2017 6:31,2964.818,Anacostia Metro,Congress Heights Metro,Subscriber
1161275,5/15/2017 7:35,5/15/2017 7:49,825.59,3rd & H St NE,Oklahoma Ave & D St NE,Subscriber
305000,2/19/2017 0:43,2/19/2017 0:46,226.006,18th St & Wyoming Ave NW,Calvert St & Woodley Pl NW,Subscriber
